FY,Category,Expend. Account #,Account Title,Expenditures
2018,Instructional,250-100-100-000-097,IDEA: Salaries,61954.2
2018,Instructional,251-100-100-000-097,IDEA: Salaries Instr.,0
2018,Instructional,231-100-100-000-096,TI: Salaries for Instruction,360265.33
2018,Instructional,232-100-100-000-096,TI: Salaries for Instr.,9901
2018,Instructional,270-100-100-000-096,TIIA: Salaries Instr.,50719
2018,Instructional,272-100-100-000-096,TIID: Salaries for Instruction,0
2018,Instructional,273-100-100-000-097,TIIA Instr Salaries,2191
2018,Support,250-200-100-000-097,IDEA: Non-Instr Salaries,2000
2018,Support,251-200-100-000-097,IDEA: Non-Instr Salaries,10152
2018,Support,231-200-100-000-096,TI: Support Salaries,0
2018,Support,232-200-100-000-096,TI: Support Salaries,0
2018,Support,270-200-100-000-096,TIIA: Support Salaries,0
2018,Support,272-200-100-000-096,TIID: Support Salaries,0
2018,Support,273-200-100-000-097,TIID: Support Salaries,0
2018,Support,280-200-100-000-096,TIV Support Salaries,0
